Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2018-05-16 10-PM,ETHUSD,695,703.56,695,701.12,472.85,331343.01
2018-05-16 09-PM,ETHUSD,695.06,695.06,691,695,401.56,278471.75
2018-05-16 08-PM,ETHUSD,697.46,697.46,690,695.06,1909.21,1323433.73
2018-05-16 07-PM,ETHUSD,695.13,703.19,695.13,697.46,922.99,645804.88
2018-05-16 06-PM,ETHUSD,694.64,701.05,694.6,695.13,628.72,438732.14
2018-05-16 05-PM,ETHUSD,694.59,698.88,691.36,694.64,1507.2,1049297.88
2018-05-16 04-PM,ETHUSD,697.08,701.5,690.97,694.59,508.95,353938.27
2018-05-16 03-PM,ETHUSD,691.9,701.61,690.58,697.08,702.96,490521.76
2018-05-16 02-PM,ETHUSD,684.3,692.73,683.51,691.9,496.39,342340.7
2018-05-16 01-PM,ETHUSD,704.86,705.58,679,684.3,2971.49,2043183.8
2018-05-16 12-PM,ETHUSD,705.69,708.79,704.6,704.86,570.66,403382.55
2018-05-16 11-AM,ETHUSD,700.36,710.53,700.36,705.69,308.48,218428.44
2018-05-16 10-AM,ETHUSD,692.87,706.77,692.87,700.36,1523.63,1068446.46
2018-05-16 09-AM,ETHUSD,687.34,693.64,686.19,692.87,96.79,66763.03
2018-05-16 08-AM,ETHUSD,690.65,691.5,687,687.34,79.96,55067.22
2018-05-16 07-AM,ETHUSD,688.05,695.54,688.05,690.65,324.02,223746.43
2018-05-16 06-AM,ETHUSD,684.68,688.51,683.26,688.05,274.18,188166.98
2018-05-16 05-AM,ETHUSD,688.14,688.14,682.77,684.68,461.19,316086.48
2018-05-16 04-AM,ETHUSD,681.16,691.6,680,688.14,1906.78,1308610.07
2018-05-16 03-AM,ETHUSD,680.24,690.67,680.24,681.16,2101.76,1443245.2
2018-05-16 02-AM,ETHUSD,692.83,694.14,677.08,680.24,2563.78,1751385.28
2018-05-16 01-AM,ETHUSD,701,703,690,692.83,2024.96,1407329.54
2018-05-16 12-AM,ETHUSD,706.11,709.2,700,701,846.0,596394.17
2018-05-15 11-PM,ETHUSD,699.75,709,699.3,706.11,411.02,289925.92
2018-05-15 10-PM,ETHUSD,709.31,709.53,694.16,699.75,3678.94,2580647.35
2018-05-15 09-PM,ETHUSD,711.76,713.59,707,709.31,361.2,256421.08
2018-05-15 08-PM,ETHUSD,713.44,714.42,710.06,711.76,912.23,650136.65
2018-05-15 07-PM,ETHUSD,711.81,715,708.21,713.44,1528.41,1087616.77
2018-05-15 06-PM,ETHUSD,717,717,708,711.81,1705.4,1213633.52
2018-05-15 05-PM,ETHUSD,722.55,725,714,717,1489.66,1070785.26
2018-05-15 04-PM,ETHUSD,716.65,727.75,716.65,722.55,801.46,578988.07
2018-05-15 03-PM,ETHUSD,712.44,721.53,709.54,716.65,1188.89,851837.85
2018-05-15 02-PM,ETHUSD,729.25,729.25,710,712.44,2233.26,1601214.46
2018-05-15 01-PM,ETHUSD,734,734,725.69,729.25,1267.82,922939.2
2018-05-15 12-PM,ETHUSD,731,734,729.5,734,736.65,539195.7
2018-05-15 11-AM,ETHUSD,734.47,735.5,728.43,731,942.29,689544.78
2018-05-15 10-AM,ETHUSD,728.71,738,725.64,734.47,2544.06,1866410.62
2018-05-15 09-AM,ETHUSD,730.26,731,728.71,728.71,303.77,221806.65
2018-05-15 08-AM,ETHUSD,735,735,722.95,730.26,796.97,581747.99
2018-05-15 07-AM,ETHUSD,732.69,735.96,730.7,735,257.72,189025.47
2018-05-15 06-AM,ETHUSD,733.11,737,732.41,732.69,991.04,727828.82
2018-05-15 05-AM,ETHUSD,725.81,736.03,725.81,733.11,3144.52,2311345.12
2018-05-15 04-AM,ETHUSD,727,732.08,725,725.81,1828.49,1331348.92
2018-05-15 03-AM,ETHUSD,724.48,729,721.6,727,2920.1,2121222.76
2018-05-15 02-AM,ETHUSD,726.77,730,721.11,724.48,2035.47,1476594.32
2018-05-15 01-AM,ETHUSD,729,730,720.83,726.77,3369.11,2442132.34
2018-05-15 12-AM,ETHUSD,728.15,735.99,727.6,729,2121.94,1553500.22
2018-05-14 11-PM,ETHUSD,718.6,728.89,718.37,728.15,784.92,568195.58
2018-05-14 10-PM,ETHUSD,728,730.35,718.6,718.6,2322.99,1684705.39
2018-05-14 09-PM,ETHUSD,737,739.56,727.39,728,1095.94,806554.92
2018-05-14 08-PM,ETHUSD,734.22,741.72,731.3,737,2340.22,1722739.58
2018-05-14 07-PM,ETHUSD,734,737.43,729,734.22,673.79,494847.18
2018-05-14 06-PM,ETHUSD,732.1,734,730,734,888.86,649930.45
2018-05-14 05-PM,ETHUSD,733,734,726.97,732.1,819.87,598487.45
2018-05-14 04-PM,ETHUSD,732.9,735.99,726.7,733,854.8,625118.27
2018-05-14 03-PM,ETHUSD,729.83,736.56,719.99,732.9,4783.33,3483731.21
2018-05-14 02-PM,ETHUSD,724.99,739,720.98,729.83,7824.18,5715158.91
2018-05-14 01-PM,ETHUSD,704,730,685,724.99,4649.73,3274762.42
2018-05-14 12-PM,ETHUSD,712.3,712.3,701.35,704,1977.37,1389945.33
2018-05-14 11-AM,ETHUSD,707.63,715.42,707.2,712.3,874.22,621262.9
2018-05-14 10-AM,ETHUSD,707,707.63,699.95,707.63,728.55,513408.01
2018-05-14 09-AM,ETHUSD,709.27,709.27,701.9,707,1111.64,784911.37
2018-05-14 08-AM,ETHUSD,703.91,710.69,699.86,709.27,1289.72,909315.53
2018-05-14 07-AM,ETHUSD,704.67,704.67,694.15,703.91,1063.11,742649.49
2018-05-14 06-AM,ETHUSD,699.99,705,693.85,704.67,1399.66,980105.21
2018-05-14 05-AM,ETHUSD,700,700,686,699.99,2584.84,1790858.27
2018-05-14 04-AM,ETHUSD,695.97,704.71,688.92,700,4192.53,2923796.66
2018-05-14 03-AM,ETHUSD,720,722,692,695.97,4333.42,3051139.64
2018-05-14 02-AM,ETHUSD,730.56,730.96,718.2,720,1169.95,845348.58
2018-05-14 01-AM,ETHUSD,728.09,733.13,725.54,730.56,773.91,564211.88
2018-05-14 12-AM,ETHUSD,729.3,732.68,716,728.09,1446.02,1044036.57
